"¿œΩ√","º≠«≥ count"
2020-01-01,2
2020-01-02,18
2020-01-03,38
2020-01-04,18
2020-01-05,14
2020-01-06,0
2020-01-07,0
2020-01-08,42
2020-01-09,38
2020-01-10,27
2020-01-11,25
2020-01-12,41
2020-01-13,33
2020-01-14,26
2020-01-15,38
2020-01-16,31
2020-01-17,22
2020-01-18,38
2020-01-19,31
2020-01-20,30
2020-01-21,17
2020-01-22,0
2020-01-23,29
2020-01-24,34
2020-01-25,20
2020-01-26,7
2020-01-27,1
2020-01-28,5
2020-01-29,4
2020-01-30,4
2020-01-31,21
2020-02-01,27
2020-02-02,37
2020-02-03,38
2020-02-04,25
2020-02-05,25
2020-02-06,21
2020-02-07,39
2020-02-08,31
2020-02-09,38
2020-02-10,28
2020-02-11,12
2020-02-12,5
2020-02-13,36
2020-02-14,21
2020-02-15,12
2020-02-16,39
2020-02-17,14
2020-02-18,40
2020-02-19,13
2020-02-20,12
2020-02-21,11
2020-02-22,44
2020-02-23,32
2020-02-24,9
2020-02-25,0
2020-02-26,13
2020-02-27,9
2020-02-28,2
2020-02-29,20
2020-03-01,22
2020-03-02,42
2020-03-03,18
2020-03-04,44
2020-03-05,36
2020-03-06,25
2020-03-07,14
2020-03-08,22
2020-03-09,13
2020-03-10,39
2020-03-11,40
2020-03-12,17
2020-03-13,30
2020-03-14,33
2020-03-15,34
2020-03-16,25
2020-03-17,16
2020-03-18,22
2020-03-19,29
2020-03-20,29
2020-03-21,21
2020-03-22,36
2020-03-23,26
2020-03-24,22
2020-03-25,17
2020-03-26,3
2020-03-27,35
2020-03-28,25
2020-03-29,20
2020-03-30,26
2020-03-31,26
2020-04-01,30
2020-04-02,21
2020-04-03,31
2020-04-04,34
2020-04-05,34
2020-04-06,32
2020-04-07,34
2020-04-08,35
2020-04-09,35
2020-04-10,19
2020-04-11,39
2020-04-12,4
2020-04-13,8
2020-04-14,31
2020-04-15,26
2020-04-16,15
2020-04-17,7
2020-04-18,31
2020-04-19,3
2020-04-20,22
2020-04-21,41
2020-04-22,39
2020-04-23,45
2020-04-24,32
2020-04-25,32
2020-04-26,34
2020-04-27,33
2020-04-28,36
2020-04-29,28
2020-04-30,2
